('converting', 'VBG')
('somehow', 'NN')
('code', 'NN')
('log2v255', 'NN')
('solve', 'VBP')
('data_size262', 'NN')
('datastreams', 'NNS')
('copied', 'VBD')
('within', 'IN')
('enhancements', 'NNS')
('zlib_io_max', 'VBP')
('colormapped', 'VBN')
('inverts', 'NNS')
('wider', 'RBR')
('appends', 'VBZ')
('pp->read_filter', 'JJ')
('subtraction', 'NN')
('statistics', 'NNS')
('detection', 'NN')
('since', 'IN')
('sticky', 'JJ')
('multiplier', 'JJR')
('libpng-1220', 'JJ')
('sane', 'NN')
('pngsetc', 'NN')
('mediawhitepointtag', 'NN')
('write_bgr', 'JJ')
('discussion', 'NN')
('cast', 'VBD')
('rgbxxx', 'JJ')
('pngtestpng', 'NN')
('comparisonchecking', 'VBG')
('png_handle_chunk_if_safe', 'JJ')
('g-8', 'JJ')
('write_transforms', 'NNS')
('fixed_point', 'VBP')
('image_bytes', 'VBZ')
('non-gray', 'JJ')
('supports', 'NNS')
('eliminating', 'VBG')
('1100000ths', 'CD')
('memory_free', 'JJ')
('png_div257', 'NN')
('low-bit-depth', 'JJ')
('release_build', 'NN')
('deprecate', 'NN')
('opposite', 'JJ')
('declarations', 'NNS')
('output_is_encoded', 'VBD')
('reports', 'NNS')
('memcpy', 'VBD')
('>background_gamma_typepng_background_gamma_unknown', 'JJ')
('api', 'RB')
('detected', 'VBN')
('lines', 'NNS')
('png_pass_colswidth', 'JJ')
('cinfo', 'JJ')
('work-round', 'NN')
('dbl_epsilon', 'NN')
('interrupted', 'VBD')
('ideal', 'JJ')
('shift0', 'JJ')
('direction', 'NN')
('refers', 'NNS')
('crc32', 'VBP')
('out-of-range', 'JJ')
('distribute', 'NN')
('defaulting', 'VBG')
('idat_list', 'JJ')
('png_cmap_rgb', 'NN')
('idats', 'NNS')
('treat', 'VBP')
('cancels', 'NNS')
('farthest', 'JJS')
('restraint', 'NN')
('ggxx', 'NN')
('png_srgb_from_linear', 'JJ')
('multiply', 'RB')
('run-time', 'JJ')
('messages', 'NNS')
('scaling', 'VBG')
('seen', 'VBN')
('expand16', 'JJ')
('corresponds', 'NNS')
('unreset', 'JJ')
('issuing', 'VBG')
('c90', 'NN')
('optimize_alpha', 'JJ')
('inch_conversions', 'NNS')
('completion', 'NN')
('identified', 'VBN')
('bomb', 'NN')
('passfail', 'NN')
('tmpfile', 'NN')
('iterate', 'JJ')
('exclude', 'NN')
('while', 'IN')
('next_length', 'JJ')
('merit', 'NN')
('program', 'NN')
('incremented', 'VBN')
('low-order', 'JJR')
('speed', 'NN')
('quicker', 'NN')
('replicating', 'VBG')
('conform', 'NN')
('electronics', 'NNS')
('png_col_in_interlace_passx', 'VBP')
('read_iccp', 'JJ')
('shorter', 'NN')
('using', 'VBG')
('_mm_avg_epu8', 'JJ')
('marks', 'NNS')
('examination', 'NN')
('calculate', 'VBP')
('png_filler_after', 'NN')
('read_errno', 'NN')
('release', 'NN')
('bypasses', 'VBZ')
('remains', 'VBZ')
('stored', 'JJ')
('manages', 'NNS')
('force', 'VBP')
('convert-to-srgb', 'JJ')
('pseudo-random', 'NN')
('accommodated', 'VBD')
('consistent', 'JJ')
('read_crc', 'NN')
('needing', 'VBG')
('combinatorial', 'NN')
('decided', 'VBD')
('codes', 'NNS')
('trash', 'JJ')
('decision', 'NN')
('ascp', 'NN')
('stuff', 'NN')
('png_handle_chunk_as_default', 'NN')
('roundv', 'VBD')
('channels-1', 'NN')
('goes', 'VBZ')
('carries', 'VBZ')
('correctness', 'NN')
('png_write_flush_after_iend_supported', 'VBD')
('colorants', 'NNS')
('memcmp', 'JJ')
('red-scalegreen-scale', 'JJ')
('httpsenwikipediaorgwikisrgb', 'NN')
('techniques', 'NNS')
('vector', 'VBP')
('composing', 'VBG')
('accelerated', 'VBN')
('wide-spread', 'JJ')
('tracking', 'NN')
('built', 'VBN')
('idmax', 'JJ')
('gray_alpha', 'NN')
('deflate', 'NN')
('searched', 'VBD')
('pm->calculations_use_input_precision', 'NN')
('abse', 'NN')
('error_text', 'NN')
('maintained', 'VBD')
('errors', 'NNS')
('fine', 'JJ')
('cheap', 'JJ')
('bkgrnd', 'NN')
('packard', 'JJ')
('path', 'NN')
('signalled', 'VBD')
('info_iccp', 'JJ')
('file->chunk', 'JJ')
('randers-pehrson', 'NN')
('optimizing', 'VBG')
('supplies', 'NNS')
('blue-ygreen-scale', 'JJ')
('raw', 'JJ')
('beginning', 'VBG')
('stop', 'VB')
('broken', 'JJ')
('reinvent', 'JJ')
('answers', 'NNS')
('png_ptr->zowner', 'JJ')
('-1<<15-png_max_gamma_8', 'NNP')
('zlibh', 'NNP')
('store_pool_delete', 'JJ')
('adjacent', 'JJ')
('stash', 'NN')
('doing', 'VBG')
('regained', 'VBD')
('combos', 'NNS')
('feed', 'VBP')
('png_make_ga_colormap', 'JJ')
('horse', 'NN')
('invalidated', 'VBD')
('log2', 'JJ')
('variety', 'NN')
('trap', 'NN')
('sizes', 'VBZ')
('image->opts', 'JJ')
('depend', 'NN')
('execute', 'NN')
('idat_end', 'VBP')
('complain', 'NN')
('hiding', 'NN')
('chunked', 'VBD')
('ranges', 'NNS')
('predictor', 'NN')
('request', 'VBP')
('computer', 'NN')
('frees', 'NNS')
('see', 'VBP')
('preventing', 'VBG')
('constants', 'NNS')
('truncating', 'VBG')
('software', 'NN')
('flevel', 'JJ')
('chars', 'NNS')
('_init', 'VBP')
('read_filler', 'JJ')
('trust', 'NN')
('area', 'NN')
('narrower', 'IN')
('max-outmax-in', 'JJ')
('preset', 'NN')
('claimed', 'VBD')
('maxcalc', 'NNS')
('care', 'VB')
('self', 'PRP')
('specified', 'VBN')
('p_srgb', 'NN')
('products', 'NNS')
('internationalized', 'VBN')
('expanding', 'VBG')
('02^31-1', 'JJ')
('use_input_precision', 'JJ')
('non-zero', 'NN')
('smashed', 'VBD')
('write_customize_compression', 'NN')
('along', 'IN')
('dropped', 'VBD')
('png_ptr->row_buf1', 'JJ')
('image->file_name', 'JJ')
('store_write_reset', 'NN')
('standard_displayfiller', 'NN')
('mis-match', 'NN')
('rounding', 'VBG')
('contrast', 'NN')
('errorwarning', 'NN')
('counted', 'VBN')
('display_log', 'NN')
('demonstrate', 'NN')
('store_mark', 'NN')
('setjmp_supported', 'VBD')
('handles', 'NNS')
('reduced', 'VBN')
('destination', 'NN')
('keywod', 'NN')
('consult', 'NN')
('ability', 'NN')
('decoded', 'VBD')
('stdout', 'NN')
('original_ip', 'NN')
('requirements', 'NNS')
('monitor', 'VBP')
('back-pointer', 'JJ')
('inserting', 'NN')
('interpretation', 'NN')
('shared', 'VBN')
('filename', 'JJ')
('file->type', 'JJ')
('per-type', 'JJ')
('escape', 'NN')
('raising', 'VBG')
('changes', 'NNS')
('validate', 'VBP')
('sync_stream', 'JJ')
('note', 'NN')
('back-door', 'JJ')
('depthswap', 'NN')
('stripped', 'VBD')
('pass-height', 'JJ')
('9-bit', 'JJ')
('smashes', 'NNS')
('multiplying', 'VBG')
('directlyn', 'JJ')
('body', 'NN')
('tell', 'VB')
('floating', 'VBG')
('scnr', 'JJ')
('whereas', 'NNS')
('image_pixel_add_alpha', 'VBP')
('specification', 'NN')
('performing', 'VBG')
('forbidden', 'JJ')
('track', 'NN')
('math', 'NN')
('align_type', 'NN')
('pngconfh', 'NN')
('saying', 'VBG')
('set_shift', 'JJ')
('png_image_pixel_component_sizefmtheightrow_stride', 'NN')
('summarised', 'VBD')
('goodpng', 'JJ')
('sets', 'NNS')
('a-za-z', 'JJ')
('check_for_invalid_index', 'NN')
('truncation', 'NN')
('idat_len', 'VBN')
('contriblibtestspngstest-errorshn', 'JJ')
('serialized', 'JJ')
('closeness', 'NN')
('png_ptr->rgb_to_gray_blue_coeff', 'JJ')
('approach', 'NN')
('upon', 'IN')
('adequate', 'JJ')
('whenever', 'WRB')
('grey', 'NN')
('percentage', 'NN')
('lesser', 'JJR')
('read-ahead', 'JJ')
('row_init', 'NN')
('responsibility', 'NN')
('user_transform_info', 'JJ')
('differs', 'NNS')
('infinite', 'VBP')
('including', 'VBG')
('ties', 'NNS')
('bytestag', 'NN')
('digitizes', 'NNS')
('caused', 'VBD')
('terminator', 'NN')
('tail', 'NN')
('folded', 'VBN')
('initialization', 'NN')
('valie', 'FW')
('hide', 'JJ')
('gray->rgb', 'JJ')
('blocky', 'NN')
('stifle', 'JJ')
('thing', 'NN')
('insists', 'NNS')
('shipped', 'VBD')
('compares', 'NNS')
('callback', 'VB')
('encountered', 'JJ')
('in-place', 'JJ')
('disk', 'NN')
('deleted', 'VBD')
('png_ptr->pass', 'JJ')
('way', 'NN')
('described', 'VBD')
('todo', 'JJ')
('restrictions', 'NNS')
('mkstemp', 'VBP')
('chunk_data_pos', 'JJ')
('fallthrough', 'JJ')
('backward', 'NN')
('quartets', 'NNS')
('emit', 'VBP')
('appropriate', 'JJ')
('returning', 'VBG')
('send', 'NN')
('png_flag_detect_uninitialized', 'JJ')
('identifies', 'NNS')
('validated', 'VBD')
('fixing', 'VBG')
('casts', 'NNS')
('fmt', 'RB')
('-werrorstrict-overflow', 'VBP')
('absir', 'JJ')
('is_error', 'NN')
('memset', 'NN')
('clears', 'VBZ')
('recognition', 'NN')
('rounds', 'NNS')
('exist', 'VBP')
('architecture', 'NN')
('facilitate', 'NN')
('gained', 'VBD')
('aim', 'JJ')
('fesetround', 'NN')
('faster', 'RBR')
('apply', 'RB')
('read_splt', 'VB')
('perfect', 'JJ')
('triplets', 'NNS')
('interface', 'VBP')
('png_background_is_gray', 'JJ')
('flushes', 'NNS')
('fist', 'JJ')
('per-file', 'JJ')
('red-y', 'NN')
('desired', 'VBD')
('destroys', 'NNS')
('fflushfclose', 'JJ')
('egg', 'NN')
('png_modification', 'NN')
('es_loes_hi', 'FW')
('png_info_idat', 'FW')
('wild', 'JJ')
('cause', 'NN')
('intensityopaque', 'NN')
('markers', 'NNS')
('overflow', 'VBP')
('reserve', 'NN')
('scp', 'NN')
('triples', 'NNS')
('improved', 'VBN')
('after', 'IN')
('leaked', 'JJ')
('remaining_space', 'NN')
('caveat', 'NN')
('png_abort', 'NN')
('combinations', 'NNS')
('quantizing', 'VBG')
('bckg', 'NN')
('png_fp_1', 'NN')
('digitized', 'VBD')
('hidden', 'JJ')
('adjusts', 'NNS')
('issue', 'NN')
('floorv', 'VBP')
('attempt', 'NN')
('overflowed', 'VBN')
('app_fail', 'IN')
('compiler', 'NN')
('restore', 'NN')
('marked', 'VBD')
('nbytes', 'NNS')
('--relaxes', 'JJ')
('arm', 'NN')
('triangle', 'NN')
('helper', 'NN')
('g^gamma', 'NN')
('gives', 'VBZ')
('two-pass', 'JJ')
('hold', 'NN')
('provides', 'VBZ')
('popcount', 'JJ')
('perception', 'NN')
('blue-yred-scale', 'JJ')
('non-transform', 'JJ')
('libpng-156', 'JJ')
('restriction', 'NN')
('checksum', 'NN')
('next_format', 'NN')
('added', 'VBD')
('png-fix-itxt', 'JJ')
('determinants', 'NNS')
('48-bit', 'JJ')
('made', 'VBD')
('vlo-vhi', 'JJ')
('leave', 'JJ')
('poyntoncom', 'NN')
('read_srgb', 'NN')
('read_expand', 'NN')
('inexact', 'JJ')
('overwrote', 'JJ')
('strips', 'NNS')
('finds', 'VBZ')
('performed', 'VBN')
('logged', 'JJ')
('respect', 'NN')
('endpoints_matchp_srgb', 'IN')
('confusing', 'VBG')
('file->idat_max', 'JJ')
('info_ptr->color_type', 'JJ')
('trip', 'NN')
('xy->whitey', 'JJ')
('implements', 'NNS')
('m<<24', 'JJ')
('xyznumber', 'NNP')
('bitmap', 'NN')
('name5', 'RB')
('alpha_optimized', 'VBN')
('png_read_packswap_supported', 'VBN')
('priority', 'NN')
('damage', 'NN')
('_fixed', 'VBD')
('routines', 'NNS')
('freeimage', 'NN')
('skip_bad_crc', 'JJ')
('sensitivity', 'NN')
('alternative', 'JJ')
('x<0', 'JJ')
('libpng-106g', 'JJ')
('tableiv', 'NN')
('alternate', 'NN')
('store_message', 'NN')
('been', 'VBN')
('max_bits', 'NNS')
('fflush', 'JJ')
('transparency', 'NN')
('png_ptr->zstream', 'NN')
('calculating', 'VBG')
('png_pass_rowsheight', 'JJ')
('worrying', 'VBG')
('png_add_alpha', 'NN')
('log', 'NN')
('filtering', 'VBG')
('isbitmax', 'JJ')
('get', 'NN')
('initializer', 'JJ')
('meanings', 'NNS')
('successive', 'JJ')
('kbytes', 'NNS')
('maintain', 'VBP')
('results', 'NNS')
('s32s00', 'JJ')
('log2bit_depth', 'JJ')
('style', 'NN')
('store_error', 'NN')
('hardware', 'NN')
('~png_rgb_to_gray', 'JJ')
('selects', 'NNS')
('base_formats', 'VBZ')
('headers', 'NNS')
('decrease', 'VBP')
('rearrange', 'NN')
('switch', 'NN')
('applying', 'VBG')
('limitserrors', 'NNS')
('filelength', 'VBP')
('transform_display', 'JJ')
('combo', 'JJ')
('white-y', 'JJ')
('needs', 'NNS')
('during', 'IN')
('grayscale-no-alpha', 'JJ')
('png_set_invert_monopng_structrp', 'NN')
('version_nn_nn_nn', 'NN')
('tablelow', 'NN')
('compared', 'VBN')
('conversions', 'NNS')
('errno', 'VBP')
('studio', 'NN')
('append', 'NN')
('represent', 'NN')
('route', 'NN')
('violates', 'VBZ')
('format_flag', 'JJ')
('ok_bits', 'NNS')
('image-height', 'JJ')
('floorvlo-vhi', 'JJ')
('satisfactory', 'JJ')
('repeat', 'NN')
('demand', 'NN')
('kill', 'NN')
('parentheses', 'VBZ')
('inputoutput', 'JJ')
('zlib_control', 'NN')
('harm', 'NN')
('exported', 'VBD')
('unpremultiply', 'JJ')
('read_count', 'NN')
('incremental', 'JJ')
('breaking', 'VBG')
('narrowing', 'VBG')
('meters', 'NNS')
('sake', 'VBP')
('bigendian', 'JJ')
('bool', 'NN')
('damaged', 'VBD')
('evaluated', 'VBN')
('gammacomposergb-to-gray', 'JJ')
('leak', 'NN')
('read_user_chunks_supported', 'VBD')
('occurs', 'NNS')
('sse2', 'RB')
('repeated', 'VBD')
('pixelbyte', 'JJ')
('none', 'NN')
('recalculate', 'NN')
('pngvalid', 'JJ')
('counts', 'NNS')
('srgb_to_d', 'VBP')
('png_warn_uninitialized_row', 'NN')
('led', 'VBD')
('front', 'JJ')
('therein', 'RB')
('defaulted', 'VBD')
('composed', 'VBN')
('weighted', 'JJ')
('sizeof', 'NN')
('retrieve', 'VBP')
('decompose', 'NN')
('rfc1950', 'NN')
('whether', 'IN')
('threw', 'NN')
('accumulated', 'VBD')
('damages', 'NNS')
('pack', 'VBP')
('z_default_strategy', 'NN')
('june', 'NN')
('article', 'NN')
('warningerror', 'NN')
('listssfnet', 'NN')
('treats', 'NNS')
('compare_two_images', 'VBP')
('equality', 'NN')
('rewrite', 'VBP')
('z_stream_end', 'NN')
('xin', 'NN')
('explain', 'VBP')
('zconfh', 'JJ')
('allocators', 'NNS')
('compilers', 'NNS')
('ignores', 'NNS')
('png_color_type_palette', 'VBP')
('skipped', 'JJ')
('saves', 'NNS')
('clever', 'VBP')
('gammabackground_rgb_to_gray', 'NN')
('guts', 'NNS')
('opportunity', 'NN')
('printf', 'VBP')
('strings', 'NNS')
('matter', 'NN')
('png_invert_alpha', 'VBP')
('progressive_read', 'JJ')
('white-x', 'NN')
('tested', 'JJ')
('insecure', 'NN')
('outputs', 'VBZ')
('jump', 'JJ')
('handler', 'NN')
('16-bits', 'JJ')
('treatment', 'NN')
('png_pass_height', 'JJ')
('approaches', 'NNS')
('backgroundpre-multiplication', 'NN')
('generate', 'NN')
('exists', 'VBZ')
('frames', 'JJ')
('poyntons', 'NNS')
('green-c', 'JJ')
('forms', 'NNS')
('clobbers', 'NNS')
('afterwards', 'NNS')
('page', 'NN')
('png_jmpbuf', 'NN')
('pointed', 'VBD')
('callbacks', 'NNS')
('chunk_end', 'VBP')
('png_{getset}_unknown_chunks', 'NNS')
('performance', 'NN')
('grab', 'NN')
('involve', 'VBP')
('input_file', 'NN')
('assurance', 'NN')
('pngtest_timing', 'VBG')
('assuming', 'VBG')
('everything', 'NN')
('named', 'VBN')
('g-16', 'JJ')
('no-transform', 'JJ')
('advantage', 'NN')
('interdependencies', 'NNS')
('color-scale', 'JJ')
('solved', 'JJ')
('defines', 'NNS')
('applications', 'NNS')
('>green', 'JJ')
('modifications', 'NNS')
('digital', 'JJ')
('modes', 'NNS')
('overlap', 'VBP')
('world', 'NN')
('distinguish', 'NN')
('png_read_pack_supported', 'VBN')
('misbehavior', 'JJ')
('says', 'VBZ')
('mark', 'NN')
('standards', 'NNS')
('use_compile_time_masks', 'JJ')
('fall', 'NN')
('unpg', 'NN')
('fault', 'NN')
('discover', 'NN')
('assertchannels', 'NNS')
('xor', 'VBP')
('strip_alpha', 'JJ')
('quarter', 'NN')
('performs', 'NNS')
('arent', 'JJ')
('luminance', 'NN')
('includes', 'VBZ')
('lot', 'CC')
('green-cgreen-scale', 'JJ')
('reentered', 'JJ')
('png_set_shiftpng_structp', 'NN')
('enforces', 'NNS')
('verified', 'VBD')
('decrement', 'JJ')
('png_filler', 'NN')
('png_swap_bytes', 'NNS')
('compiled', 'VBD')
('png_invert_mono', 'JJ')
('normalize', 'JJ')
('determinant', 'JJ')
('0-25', 'JJ')
('muldiv', 'NN')
('sync_flush', 'NN')
('magic', 'NN')
('compile', 'NN')
('simplified_read', 'JJ')
('column', 'NN')
('confusion', 'NN')
('allocated', 'VBD')
('mass', 'NN')
('replaces', 'NNS')
('warnuse', 'VBP')
('breakage', 'NN')
('getting', 'VBG')
('indicated', 'VBN')
('flow', 'JJ')
('chance', 'NN')
('colour_type', 'NN')
('write_png', 'JJ')
('configure', 'NN')
('loaded', 'VBN')
('assumes', 'VBZ')
('test_uses_encodings', 'NNS')
('recovery', 'NN')
('consider', 'VB')
('understands', 'NNS')
('xyz1', 'JJ')
('find', 'VBP')
('png_ptrunknown_chunk', 'JJ')
('matching', 'VBG')
('avoiding', 'VBG')
('acquire', 'VB')
('cexcepth', 'NN')
('cleans', 'NNS')
('preserves', 'VBZ')
('extreme', 'JJ')
('information', 'NN')
('out-of-memory', 'JJ')
('object', 'NN')
('@<number>', 'NNP')
('green-zgreen-scale', 'JJ')
('inability', 'NN')
('inaccuracies', 'NNS')
('nyi', 'JJ')
('reallocation', 'NN')
('png_ptr->jmp_buf_ptr', 'JJ')
('booleans', 'NNS')
('d->error_return', 'JJ')
('startup', 'JJ')
('tristimulus', 'NN')
('permit', 'NN')
('fifth', 'VBD')
('onto', 'IN')
('aliased', 'VBN')
('exact', 'JJ')
('match', 'NN')
('endrc', 'NN')
('published', 'VBN')
('<httpwwwpoyntoncomnotescolour_and_gamma>', 'NNP')
('remove', 'VB')
('read_int_functions', 'NNS')
('`_epi8`', 'VBP')
('positives', 'NNS')
('move', 'VBP')
('adobe', 'NN')
('approximations', 'NNS')
('overwrites', 'VBZ')
('delete', 'JJ')
('suffix', 'RB')
('drop', 'NN')
('modifier_read', 'NN')
('is_transparent', 'NN')
('nonzero', 'NN')
('file_initcontrolfile', 'NN')
('store_storefile', 'NN')
('reseed', 'NN')
('trashed', 'VBD')
('byte-swaps', 'JJ')
('greyscale', 'NN')
('middle', 'JJ')
('integer', 'NN')
('places', 'NNS')
('parallel', 'JJ')
('abuse', 'RB')
('subtracted', 'VBD')
('strip_16', 'JJ')
('componentalpha', 'NN')
('forces', 'NNS')
('png_use_compile_time_masks', 'VBP')
('oops', 'JJ')
('a-c', 'JJ')
('poynton', 'NN')
('transform_widthpp', 'NN')
('algorithms', 'VBP')
('alter', 'RB')
('converge', 'JJ')
('fio21-cdonotcreatetemporaryfilesinshareddirectories', 'NNS')
('chunk_info', 'NN')
('aligned', 'VBN')
('reuse', 'RB')
('urged', 'JJ')
('reduces', 'NNS')
('takes', 'VBZ')
('safety', 'NN')
('values><n', 'NN')
('theory', 'JJ')
('addition', 'NN')
('parse', 'IN')
('chunk_write', 'JJ')
('chunklen-4u-chunkpos', 'JJ')
('requires', 'VBZ')
('steal', 'JJ')
('modify_fn', 'NNS')
('outputoutput_size', 'VBP')
('set_expand', 'NN')
('supposed', 'VBN')
('directtions', 'NNS')
('guiwindowing', 'VBG')
('ethernet', 'JJ')
('re-allocs', 'JJ')
